network,npz_id,Dep_ID,Dep,Date_week,Weekday,Begin_Date_loc,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,Inside_transit,Inside_transit_small
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-11,Th,2019-11-07,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-11,T,2019-11-05,5,0,4,0,0,0,4
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-11,W,2019-11-06,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-18,F,2019-11-15,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-18,M,2019-11-11,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-18,Sa,2019-11-16,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-18,Su,2019-11-17,1,1,1,1,1,0,0
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-18,Th,2019-11-14,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-18,T,2019-11-12,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-18,W,2019-11-13,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-25,M,2019-11-18,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-25,T,2019-11-19,0,0,0,0,0,0,0
South-west,GMP,202201,GEOGRAPHE_202201_GEO,2022-01-10,F,2022-01-14,21,0,1,0,0,0,1
South-west,GMP,202201,GEOGRAPHE_202201_GEO,2022-01-10,Sa,2022-01-15,28,0,2,0,1,0,1
South-west,GMP,202201,GEOGRAPHE_202201_GEO,2022-01-10,Su,2022-01-16,15,0,0,0,0,0,0
South-west,GMP,202201,GEOGRAPHE_202201_GEO,2022-01-10,Th,2022-01-13,2,0,0,0,0,0,0
South-west,GMP,202201,GEOGRAPHE_202201_GEO,2022-01-10,W,2022-01-12,11,0,2,0,1,0,1
South-west,GMP,202201,GEOGRAPHE_202201_GEO,2022-01-17,F,2022-01-21,16,0,1,0,1,0,0
